Book1,Book2,baseline,nlp_only,equal,vocabulary_focused,structure_focused
JUD,2JN,0.3331649770732913,0.2443762649870267,0.30739508019265926,0.45105559370448944,0.26691898541853887
JUD,1JN,-0.24753369220050114,-0.08672753110703219,-0.12083639562509377,-0.5619452719643753,0.2839754091163738
JUD,3JN,0.35381894450343454,0.3904400842565495,0.28206731028026477,0.5645551448755737,0.08533277816355506
JUD,2PE,0.3498754922243552,0.4915448898673672,0.27149337098414456,0.5794890769657726,0.054564164368575065
JAS,2JN,-0.03578628242596423,0.181227022298926,-0.02140848426641944,-0.07073022999331616,0.025038254271368434
JAS,1JN,-0.13172202998907911,-0.1317553785377913,0.014322026141628155,-0.47242368875185703,0.5037044204820591
JAS,3JN,0.23063631871353157,0.29772953571765615,0.27242406659486673,0.17946792195524053,0.4605004937748245
JAS,2PE,0.10968146032641676,0.5435468146914018,-0.06144242095741259,0.5015833849007126,-0.6435868025784369
2JN,1JN,-0.05443807900522728,0.15311469294406732,0.020795951169482435,-0.22357875032478225,0.278547165650462
2JN,3JN,0.5134240293518546,0.5543290424938998,0.43337086682320825,0.7674775067811825,0.2350418106666079
2JN,2PE,0.17540948238117426,0.35714877216068847,0.12857524655249702,0.3070938119289793,-0.006310826273475057
1JN,3JN,-0.19395738101945487,0.021349131873824534,-0.10802019734624187,-0.4136960064544106,0.16277975573531417
1JN,2PE,-0.5162358672119608,-0.12742159502806633,-0.5179649343087231,-0.5953228286424219,-0.609849744488463
3JN,2PE,0.0909753821874845,0.42474424888428786,-0.02592384749338362,0.3581377715361553,-0.4191360614377207
