,Διονυσίῳ,φραγμεντυμ επιστολαε,Τῷ αὐτῷ,Ἀνεπίγραφος ὑπὲρ Ἀργείων,Σαραπίωνι τῷ λαμπροτάτῳ,Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
3JN,0.9858662487482728,0.9059338484017725,0.991551463535563,0.9901150772471634,0.9813988786049297,0.9975872284840444,0.7206280594724267,0.41193338064766755,0.9793758182774801,0.5391840826248964,0.4779045481179366,0.8721696330437068,0.8868613987470032,0.477969852358605,0.9983462573485302,0.9835965920148063,0.9981068414851021,0.9902953446022563,1.0,0.9842309602632298,0.8350524884955043,0.973535544145047,0.7952243524699742,0.9134192551099771,0.9920909218259778,0.9915291298345226,0.9974417736483834,0.9847696311768844,0.9925596815916043,0.9940106911431038,0.9930946666401321,0.9957018410051011,0.9740744562292839
2PE,0.9839230499682079,0.939622637915732,0.9960179677025377,0.9984004956352601,0.9950897786932543,0.9893104891931613,0.7727955256659599,0.4939950081706836,0.9930848183354468,0.6081092064254089,0.5524224482952038,0.9145351721569119,0.913571956843181,0.5527915337130023,0.9907354123644195,0.9834823796376392,0.9841975312044574,0.9813154333722052,0.9842309602632298,1.0,0.8728185801229782,0.9818480359666507,0.8436896860127081,0.9440439078901289,0.9938395751549002,0.9930625168566161,0.9806446390113841,0.9973918801164566,0.9942341523893576,0.9960780760419968,0.9869839960409359,0.9878250148644752,0.9952757613556535
1CO,0.9126888391742994,0.9858571212784448,0.8760186011411737,0.8740472232992933,0.9072409407992141,0.8665785796770574,0.9831710886605903,0.8443626955720446,0.9172958207240357,0.9119351013396289,0.8818128022333527,0.9934707328587313,0.9921812290524686,0.8815866984551386,0.8477715730660815,0.9177407136851919,0.8279555967518245,0.8898262691754129,0.8350524884955043,0.8728185801229782,1.0,0.9379539647369729,0.9969410023355125,0.9848759997869474,0.8287771445852373,0.8910313032211141,0.8433178556722443,0.8770656445048871,0.885697517621517,0.8562814621201855,0.8871732016707498,0.8734410711476591,0.9120687753306678
GAL,0.9970967184987279,0.9781799601847406,0.9866701295272594,0.9852745711282569,0.9934226353597685,0.985700033440283,0.858866078293658,0.6075918743402888,0.9963767225539513,0.7143579773245363,0.6640199838503278,0.9602047584770009,0.9666731037503582,0.663863861272336,0.9785368749627927,0.9979545551129579,0.9695464973857435,0.9893938953855262,0.973535544145047,0.9818480359666507,0.9379539647369729,1.0,0.9120086157315471,0.981873800636557,0.9675635045343935,0.9921493642511782,0.9752703619975239,0.9832831721661537,0.9906341398196699,0.979873327011249,0.9911111993211529,0.9870771081628894,0.9911048665221256
ROM,0.881342733686812,0.9747935432517602,0.8436242757728419,0.8425159347451745,0.8797171404815025,0.8300484884148867,0.9925234268888261,0.8797336791465304,0.8908699297909521,0.9372599737989219,0.9117773368970001,0.9879183154218267,0.9810018761229573,0.9117191347576109,0.8102295999943363,0.8875939913020956,0.7875151729481351,0.8547804505749427,0.7952243524699742,0.8436896860127081,0.9969410023355125,0.9120086157315471,1.0,0.972365652496885,0.7929121862788246,0.8586021750550912,0.8028025732665657,0.8472344673797729,0.8530010493304921,0.8219610422696269,0.852312555826331,0.837135958189461,0.8873590379616005
2CO,0.9655150217160349,0.9988389717652333,0.9445178083303335,0.9441561026138643,0.9652286357159428,0.9363728443565459,0.9378959239345082,0.7448231978450158,0.9715844639285877,0.8311456667187136,0.7910025583658576,0.995031385338393,0.9941294822738946,0.790952372549015,0.9239338689968999,0.9688207260853171,0.9083294642768588,0.9493185212663922,0.9134192551099771,0.9440439078901289,0.9848759997869474,0.981873800636557,0.972365652496885,1.0,0.9124627316125602,0.9542410780409832,0.9177531825696921,0.9465355697436366,0.9510197786022948,0.9319004734332565,0.9494735587854634,0.940530835944874,0.96907345877354
PHM,0.9763618420830575,0.9042330718283689,0.9916458283440748,0.9942947761527214,0.9837813209265345,0.9906278414328455,0.7148472787825648,0.4120062713943528,0.9794420823352525,0.5368005719697451,0.47576740922167693,0.8726923019816131,0.881460340556244,0.4761703480314724,0.9946115590759093,0.9737259552128815,0.9938935488577078,0.9823904329702075,0.9920909218259778,0.9938395751549002,0.8287771445852373,0.9675635045343935,0.7929121862788246,0.9124627316125602,1.0,0.9904223629399493,0.9893508617012103,0.9944626051600164,0.9923128163853445,0.9984458112222123,0.9860498437788621,0.9897330308415452,0.9835951221861455
PHP,0.9962648027270856,0.9475249880359162,0.9963284115835991,0.9964563531851026,0.9954309588846748,0.9971252159830698,0.7936066948719279,0.5123948720401528,0.9944836390362497,0.630622867153287,0.574056502472854,0.922111249735311,0.9336156120217939,0.5740583603067415,0.9949510486181786,0.9947994858402436,0.991160020574023,0.9968577089801762,0.9915291298345226,0.9930625168566161,0.8910313032211141,0.9921493642511782,0.8586021750550912,0.9542410780409832,0.9904223629399493,1.0,0.9930764221558557,0.9952932863171263,0.9998776333079571,0.9964556993709813,0.9985979052703644,0.9983124800725005,0.9933952163947958
TIT,0.9880243096310631,0.908906507404924,0.9896101790007641,0.9881265681873225,0.9807583236726704,0.9971314128564305,0.7316566451836177,0.4249586543189228,0.9779194347737997,0.5530715309813052,0.4919349067211515,0.876023819112078,0.8968975407241044,0.4917598058887682,0.9968045770804664,0.9846094599853631,0.9981510369994743,0.9949855440097657,0.9974417736483834,0.9806446390113841,0.8433178556722443,0.9752703619975239,0.8028025732665657,0.9177531825696921,0.9893508617012103,0.9930764221558557,1.0,0.9838663333274557,0.9934040209036962,0.9925913279635449,0.9958733070909394,0.9979441702869104,0.9739074389366233
COL,0.9849450684575365,0.9392398809842201,0.9923055504927104,0.9957091197651936,0.9919661171922741,0.9895156636782876,0.7779674495996601,0.4985218212957843,0.9906459817363683,0.6149653477678966,0.5585391852628764,0.9146040706613693,0.9197994893291316,0.5587695451911341,0.9894174436999903,0.9839197398485209,0.9848792715945441,0.9859274278108328,0.9847696311768844,0.9973918801164566,0.8770656445048871,0.9832831721661537,0.8472344673797729,0.9465355697436366,0.9944626051600164,0.9952932863171263,0.9838663333274557,1.0,0.9960182774870869,0.9974670242158205,0.9892468815801095,0.9901605153452201,0.9962085911957147
1TH,0.9951639196566678,0.9442622063420182,0.9970416077980115,0.997358279816043,0.9954350202957785,0.9973771556315103,0.7865634148895256,0.5031509714721798,0.9940876820892066,0.6220861795233213,0.5649855360357222,0.9182321618516673,0.9292008490540511,0.5650659562742832,0.9959422691101191,0.9936147934430468,0.9923636440572393,0.9961723506063028,0.9925596815916043,0.9942341523893576,0.885697517621517,0.9906341398196699,0.8530010493304921,0.9510197786022948,0.9923128163853445,0.9998776333079571,0.9934040209036962,0.9960182774870869,1.0,0.9975457279984064,0.9981205947289861,0.9982304007907584,0.993372165126943
2TH,0.9864822902564103,0.9243026036045893,0.9955387052619138,0.9973196261084292,0.9905898122434657,0.9953790811018413,0.7489186494603683,0.4545260777731791,0.9879806651682695,0.5766176168762193,0.5174129492211402,0.8952974369988022,0.9045085394638132,0.5176495628340348,0.996699210824521,0.9845302820127547,0.9944612566691696,0.9899416282623812,0.9940106911431038,0.9960780760419968,0.8562814621201855,0.979873327011249,0.8219610422696269,0.9319004734332565,0.9984458112222123,0.9964556993709813,0.9925913279635449,0.9974670242158205,0.9975457279984064,1.0,0.9930568188244173,0.9951259959047816,0.990140196876771
1TI,0.9977166103544208,0.942875316023821,0.9945050778985088,0.9929874855680302,0.9920774586783319,0.9983337101355244,0.7882895606560057,0.5025309456148332,0.9913897803947342,0.6224259393585995,0.5655350370158427,0.9159141274762244,0.9309791441513199,0.5653149346922096,0.9952386507574799,0.9959292911570409,0.9923252366792232,0.9985893126126765,0.9930946666401321,0.9869839960409359,0.8871732016707498,0.9911111993211529,0.852312555826331,0.9494735587854634,0.9860498437788621,0.9985979052703644,0.9958733070909394,0.9892468815801095,0.9981205947289861,0.9930568188244173,1.0,0.9995225955155024,0.9867010579705784
2TI,0.9952998760458758,0.933258632299283,0.9948380312585917,0.9936926222427787,0.9904482477452734,0.9990778901011793,0.7701222017907075,0.4775579143840176,0.9889317091051157,0.599988642658535,0.5416504973683449,0.9044858581404367,0.9203618772067379,0.5414973395948862,0.9972500327109822,0.993057028401011,0.9955086603841881,0.9980400053759344,0.9957018410051011,0.9878250148644752,0.8734410711476591,0.9870771081628894,0.837135958189461,0.940530835944874,0.9897330308415452,0.9983124800725005,0.9979441702869104,0.9901605153452201,0.9982304007907584,0.9951259959047816,0.9995225955155024,1.0,0.985175428962644
EPH,0.9876540300957296,0.9640025443513504,0.9907549842535077,0.9934647837688385,0.9961775164073543,0.9839208489462158,0.8256787912020145,0.5676221036072294,0.9959697850197978,0.6764204828894638,0.6238102452210972,0.9448771098448521,0.9462349978011562,0.6241144307624567,0.9817374378368239,0.9877258276226936,0.973736461008479,0.9836277886052326,0.9740744562292839,0.9952757613556535,0.9120687753306678,0.9911048665221256,0.8873590379616005,0.96907345877354,0.9835951221861455,0.9933952163947958,0.9739074389366233,0.9962085911957147,0.993372165126943,0.990140196876771,0.9867010579705784,0.985175428962644,1.0
