,Διονυσίῳ,φραγμεντυμ επιστολαε,Τῷ αὐτῷ,Ἀνεπίγραφος ὑπὲρ Ἀργείων,Σαραπίωνι τῷ λαμπροτάτῳ,Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
LUK,0.6113116485702805,0.8001559106338144,0.5513830278801429,0.550539406789229,0.6114060672703633,0.5277509499431163,0.952937184690188,0.9967922397477215,0.6276859360384761,0.9966939289607932,1.0,0.8424908232562742,0.8252073712966115,0.99995498472926,0.4982116451608499,0.6212677815222615,0.46660212872534507,0.5718590710051736,0.47612251735111305,0.556290329531189,0.8817737231207009,0.6635108240209455,0.9127085675484434,0.7923768079724297,0.47646225079925625,0.5735252742986369,0.49027061589959153,0.561794054958342,0.5645980429889772,0.5177717837927395,0.5642330771020002,0.5402470851038167,0.6283350541577671
HEB,0.938610165312297,0.997159055306266,0.9123728856097024,0.9117406716038075,0.9400311006888094,0.8996495737516849,0.9651284087652354,0.8014197400307098,0.9477489984039945,0.8758833591049247,0.8424908232562742,1.0,0.9929270839445232,0.8420641226519768,0.8840271767930374,0.9436068611339764,0.8639183947714455,0.9154399501933442,0.8710738447490396,0.914875294193709,0.9955142416381936,0.9602113052762661,0.9886053682097469,0.9951198949397314,0.8707367535499811,0.9207045771286338,0.8761447237553109,0.9149618557994811,0.9166183394397128,0.893424834855107,0.9158842568641032,0.9039074127960894,0.9455743794577813
REV,0.948603803728084,0.9926192939568714,0.9214631114257467,0.9213996752960159,0.9467608536016363,0.9122346355053073,0.9561495800766783,0.7789763029863624,0.9513971971839842,0.8639405420239,0.8252073712966115,0.9929270839445232,1.0,0.8250766639868008,0.8979311706888428,0.950893678846424,0.88338117789791,0.935037677024707,0.8862663396302761,0.9218773713446319,0.9921671223395148,0.96685031929601,0.9812119123456544,0.9954807915366707,0.8864861223927734,0.9344579163516112,0.8962478732705412,0.9271441588066501,0.9303738523199027,0.9078131667850075,0.9305962810626408,0.9199810117514468,0.9537789687147655
MAT,0.6108542128595024,0.799694972667677,0.5511480851273199,0.550315161883292,0.6111391079006497,0.5273752140384447,0.9526547348769739,0.9966998377067924,0.627317017834588,0.9969381570725623,0.99995498472926,0.8420641226519768,0.8250766639868008,1.0,0.4979756796663178,0.6207966250252638,0.4664362674750595,0.5716540789518946,0.4759485155921313,0.5560585467517964,0.8814456879007788,0.6631267332841368,0.9124854348784438,0.7920646765157371,0.47634902961716286,0.5732074825328672,0.4899033751161844,0.5615464381417308,0.564331422787165,0.5175766008277577,0.5637937105151911,0.5398541955789692,0.628123088055537
JUD,0.990013898044613,0.9163147594232776,0.9974834370573751,0.9972715646821919,0.9898592378106008,0.9990731799542341,0.7368863678763432,0.4319607699929725,0.9861956279084595,0.558297092108898,0.4982116451608499,0.8840271767930374,0.8979311706888428,0.4979756796663178,1.0,0.9877282531919572,0.9984492963180915,0.993223145281456,0.9990970743592877,0.9950870283154899,0.8477408813973866,0.9788444829920161,0.8084480502311162,0.9231854980263853,0.9976950176401291,0.9952782789147614,0.998095511201112,0.9941086449005151,0.9963039070283888,0.9985193235260564,0.9959849008426308,0.9978310186563701,0.9851179780696746
JAS,0.9996363819188627,0.9657698412062848,0.9945207510185727,0.9935481257776598,0.9977442606773146,0.9930687304754917,0.8294551609455775,0.5613345962489757,0.9986145801853425,0.6737819483371913,0.6212677815222615,0.9436068611339764,0.950893678846424,0.6207966250252638,0.9877282531919572,1.0,0.9797124615299858,0.993200408199694,0.9836042058610301,0.9925415416744254,0.9172614520122641,0.9981849178243535,0.8867927007195625,0.9694629743681695,0.9798554282436295,0.9959240308865547,0.9845077834244308,0.9917729564391696,0.9951122827041178,0.9884978015296909,0.9959294045384108,0.9931014001275728,0.9952110634271937
2JN,0.9834038177686386,0.898544906816853,0.9926884090036183,0.9928801209015042,0.9824834918137361,0.9959707207986732,0.7114607313294545,0.39814452383140114,0.9769993224745255,0.5290595536705959,0.46660212872534507,0.8639183947714455,0.88338117789791,0.4664362674750595,0.9984492963180915,0.9797124615299858,1.0,0.9915318209736709,0.9985754111527909,0.9896511749637104,0.8273676820008933,0.9695609597374578,0.7854758480038599,0.9075308838538597,0.997962795739789,0.9915688379995329,0.998927747482442,0.9905272776109094,0.9929058578912915,0.9969111086483504,0.9926557282948459,0.9957739760395968,0.9780199399450027
1JN,0.9958531337691251,0.9416741994982065,0.9941788379204445,0.9943517474900933,0.9931111639036128,0.9954494653098103,0.7919990639415954,0.5070224577407698,0.9899545447088508,0.6298457451478611,0.5718590710051736,0.9154399501933442,0.935037677024707,0.5716540789518946,0.993223145281456,0.993200408199694,0.9915318209736709,1.0,0.9905500279449736,0.9914084933258075,0.8892228407879639,0.9897713097914896,0.8539689402766377,0.9501654680847037,0.9897066420646388,0.9984389506583365,0.9949660206519633,0.9949526069468555,0.9981896842401539,0.9948108533769228,0.9986910178886799,0.9982697116583293,0.9920582896432846
3JN,0.9860219000810786,0.9051834052144149,0.9943104544797777,0.9938791022449603,0.9845360389597863,0.9976082070174609,0.7195049123095468,0.40883189336616255,0.980872811071987,0.5374331555535423,0.47612251735111305,0.8710738447490396,0.8862663396302761,0.4759485155921313,0.9990970743592877,0.9836042058610301,0.9985754111527909,0.9905500279449736,1.0,0.9912450836664211,0.8340254419698846,0.9732663394877474,0.7931389042507682,0.912655996131979,0.9968514093122337,0.991933564709704,0.9976416550031623,0.9905455427363993,0.9932520327518528,0.9967301712664496,0.9931208917592185,0.9956947539650873,0.9792337932737297
2PE,0.9933423873070946,0.9416967153989526,0.9986578840181312,0.9993920079254308,0.996885348877871,0.9960425929592958,0.7799384047370065,0.49405388573645836,0.994925602323781,0.6125140682338694,0.556290329531189,0.914875294193709,0.9218773713446319,0.5560585467517964,0.9950870283154899,0.9925415416744254,0.9896511749637104,0.9914084933258075,0.9912450836664211,1.0,0.8800354720851978,0.9881182586898474,0.8464498398914401,0.9467467136760636,0.9939618114413955,0.9968939838077607,0.990150937330984,0.9983211164210885,0.997417014165388,0.9972561475495012,0.99514498070432,0.9950991359067692,0.9953215417264126
