,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH,MRK,ACT,1PE,JHN,LUK,HEB,REV,MAT,JUD,JAS,2JN,1JN,3JN,2PE,Julian_Διονυσίῳ,Julian_φραγμεντυμ επιστολαε,Julian_Τῷ αὐτῷ,Julian_Ἀνεπίγραφος ὑπὲρ Ἀργείων,Julian_Σαραπίωνι τῷ λαμπροτάτῳ,Julian_Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι
1TI,0.8874769831455465,0.9910847287515882,0.852910953642652,0.9494163958167378,0.9835181684288705,0.9981939377544722,0.9958575704780807,0.9859971262538851,0.9975693064112376,0.9914415131089093,1.0,0.9995119130254642,0.9837430232238982,0.7886474704299561,0.5036902160835488,0.9904284786862414,0.6230485024443926,0.5661556256111544,0.9159380810592583,0.9311611187420248,0.5660393140949248,0.9948948957109262,0.9959294086394445,0.9921724522503658,0.9985416959010163,0.993082449547542,0.9833750392700592,0.9976983596418575,0.9428652639097762,0.9931792943707944,0.9910523032109126,0.990449504670171,0.9983082818859544
2TI,0.8737770721860578,0.9871173494146259,0.8378826816956398,0.9406661558748074,0.9875174483024639,0.9980431685533717,0.9978749523673114,0.9873038274258863,0.9978347639095382,0.9937729186115305,0.9995119130254642,1.0,0.9826231043002975,0.7704970508705407,0.478828964144507,0.988189801797601,0.6006530005841288,0.5423194294310391,0.9047645181351206,0.9205434220460104,0.5422796354933908,0.9969823554117854,0.9930366714745485,0.9953855671789317,0.9979325675552929,0.9957051859287859,0.9846177183723103,0.9952427505102515,0.933444730305936,0.9936802558507497,0.9920142879758137,0.9890490746310266,0.999076954799554
EPH,0.9091258158206922,0.988868694094504,0.8861730121605346,0.9680737572761856,0.9838909692353665,0.9922172722765225,0.9704993793649543,0.9961467179165447,0.9924379993582847,0.9900682679831264,0.9837430232238982,0.9826231043002975,1.0,0.8225978231069523,0.5671283877428567,0.9953045440129072,0.6742228917094844,0.6218023585502181,0.944600240189851,0.9428597136258029,0.6223447593851243,0.980242153730764,0.9843776147092761,0.9718366714406396,0.979846516692874,0.9717870789587808,0.9952584803667947,0.9840949173714433,0.9631058840125726,0.9896076337503138,0.9930364316187248,0.9952520812526259,0.9816133247178164
MRK,0.9831490615129423,0.8588749906672782,0.9921584514241736,0.9371175401224497,0.7132875914945848,0.7934202416369197,0.7322050580788356,0.7752962707306206,0.7862438766456451,0.747880770307514,0.7886474704299561,0.7704970508705407,0.8225978231069523,1.0,0.9277068264780802,0.8295202794217247,0.9708672666713155,0.9530042240194424,0.9609770357707621,0.9562237961451487,0.9527831619189742,0.7370237197740113,0.8303558670040591,0.7124929504301502,0.7932119871137754,0.7211631156298499,0.7696410094559052,0.8232235143775176,0.9405719113232496,0.7735611521451131,0.7708945948705344,0.815532861329491,0.7612690247449841
ACT,0.8446255045506852,0.6084210359296478,0.8796788669754364,0.7448580763639324,0.4132899114012868,0.513516149449941,0.42622759931523857,0.4986159667967565,0.5042850314535176,0.4556609644832412,0.5036902160835488,0.478828964144507,0.5671283877428567,0.9277068264780802,1.0,0.5707870041155132,0.987370919283929,0.9967029853099514,0.7998321042964976,0.7802574134319715,0.9966614925251813,0.43667546988185346,0.5642894641739387,0.4032078355467875,0.5102323233711331,0.4134054314558675,0.4940556036664778,0.5532661627219938,0.7543243975815945,0.4912125379193834,0.4896825815280094,0.5524128783996028,0.4668627429483132
1PE,0.9162588998694429,0.9957017954767223,0.8909124824084376,0.9715169060526716,0.9792089442221275,0.994302829425382,0.976672234692366,0.9896481590709486,0.9940048608474513,0.9878573868304408,0.9904284786862414,0.988189801797601,0.9953045440129072,0.8295202794217247,0.5707870041155132,1.0,0.6775178660305953,0.6259294006796972,0.9491754959150512,0.9475398079123538,0.6261808692549963,0.9859081811457923,0.9946142527050869,0.9762706904751769,0.9853513945351815,0.978698017002649,0.9922961455506771,0.9936973269022221,0.9692965752923227,0.994529698905956,0.9942132120433816,0.9986420357567641,0.9890251033033133
JHN,0.9119643352197909,0.71459947876325,0.9368618010557243,0.8305158361433418,0.5363046781613667,0.6308422977590572,0.5538643777526315,0.6132780720645731,0.6222297646570493,0.5763347399343393,0.6230485024443926,0.6006530005841288,0.6742228917094844,0.9708672666713155,0.987370919283929,0.6775178660305953,1.0,0.9966842684097312,0.8721027227481394,0.8643365492173617,0.9969472774686573,0.5600816320057527,0.6753631275243529,0.5315301451741999,0.6317472073454581,0.5400172806466779,0.6061902258213564,0.6665704039222126,0.8356643811093543,0.6071425649340878,0.6051534096848511,0.661611620631896,0.5881403092918502
LUK,0.8818324247755845,0.6642661791064872,0.9113404999194851,0.7903671109491149,0.47550138109191886,0.5743190812629039,0.49272754892020604,0.5571098133377226,0.5651832418414472,0.5172806685812292,0.5661556256111544,0.5423194294310391,0.6218023585502181,0.9530042240194424,0.9967029853099514,0.6259294006796972,0.9966842684097312,1.0,0.8385625317230634,0.8255782304899419,0.9999456926154543,0.500067329517133,0.6228352495452901,0.46911152734268446,0.5737587414967563,0.4787528274903426,0.5507423364907016,0.6129116540698216,0.7976689891931509,0.5504488274171655,0.5484435071561535,0.6083500577580806,0.5298845296367919
HEB,0.9925277433503026,0.9602079399149103,0.9876047056524432,0.9949912517075049,0.8736168565752074,0.9227669142875324,0.8759803011896693,0.9144806696454449,0.9189827087390061,0.8961698619626446,0.9159380810592583,0.9047645181351206,0.944600240189851,0.9609770357707621,0.7998321042964976,0.9491754959150512,0.8721027227481394,0.8385625317230634,1.0,0.9900588807065854,0.8386036080274045,0.8868148233528782,0.9424640473318312,0.8666049572182994,0.9141310069101792,0.8726901281568834,0.9144458005707817,0.9373451282144712,0.9971704329378506,0.9140671564208361,0.9135449319679703,0.9406762026319783,0.9009423784660961
REV,0.9921879283144379,0.9665916584218994,0.9809039707533596,0.9935021187187844,0.8792172471191767,0.9332301463618421,0.8972057845830027,0.9165122723252119,0.9286649064563768,0.9030141831427171,0.9311611187420248,0.9205434220460104,0.9428597136258029,0.9562237961451487,0.7802574134319715,0.9475398079123538,0.8643365492173617,0.8255782304899419,0.9900588807065854,1.0,0.8256307277742482,0.8974311453146757,0.9513244855545944,0.8837220102610817,0.9356147584889382,0.8871443133661641,0.9098968878635301,0.9490343649042944,0.9904894588698847,0.917217470432801,0.9150525767042185,0.9407213628805969,0.9127743898394204
MAT,0.8816546616989587,0.6642177399494358,0.9113602557556725,0.7904401812193308,0.4761431438767486,0.5744712215090207,0.49264353282294665,0.5575607268162934,0.5654265713599516,0.5177183760052905,0.5660393140949248,0.5422796354933908,0.6223447593851243,0.9527831619189742,0.9966614925251813,0.6261808692549963,0.9969472774686573,0.9999456926154543,0.8386036080274045,0.8256307277742482,1.0,0.5003706575156952,0.6226326906110623,0.4694346001216639,0.5738070698767025,0.4789312671520196,0.5513875330912457,0.6127358520616794,0.7976564039011023,0.55092892344532,0.5489961446841912,0.608827034819465,0.5298881558449565
