,Τῷ αὐτῷ,φραγμεντυμ επιστολαε,Σαραπίωνι τῷ λαμπροτάτῳ,Διονυσίῳ,Ἀνεπίγραφος ὑπὲρ Ἀργείων,Λιβανίῳ σοφιστῇ καὶ κοιαίστωρι,ACT,HEB,JHN,REV,LUK,MAT,2PE,MRK,JUD,1JN,JAS,1PE,2JN,3JN,2CO,1CO,ROM,2TI,1TI,PHM,EPH,2TH,PHP,COL,1TH,TIT,GAL
2CO,0.9884033432354777,0.9979277230888159,0.9903060430487137,0.9877264134616044,0.9969411355825633,0.9981758915509029,0.9992876790088032,0.9974001501008999,0.9916830109783641,0.9891345846008591,0.9953769162932433,0.9973563449996603,0.9934788048598754,0.9931786927510523,0.9926381394217143,0.9943756392447072,0.9990027480041835,0.9946889799689662,0.9988072130536904,0.9870317952394208,1.0,0.9986495285018178,0.9951765767035864,0.9959995917735224,0.996910696030014,0.9941446373612325,0.9761173032826859,0.9870082280372033,0.9980256650803463,0.988625840418766,0.9991405651173318,0.9929600275273247,0.9984636569435821
1CO,0.9937667309163725,0.999445371719643,0.9842636687812014,0.9938072123168782,0.9992116531045522,0.9993969888436048,0.9987023202054713,0.9945566612904171,0.996313877515317,0.9816200153840151,0.9986440565014323,0.9995283699850189,0.9879434046406118,0.9973723803235718,0.9876184150487098,0.99782034803552,0.9994734409561318,0.9894138697770222,0.9991357625590559,0.9931343821704718,0.9986495285018178,1.0,0.99032747081943,0.9916172580517777,0.9931121450036159,0.988055745496574,0.9656220251692424,0.978448711026255,0.9940361071453279,0.9804959630024004,0.9965326625808293,0.9877213096218452,0.9961309367668598
ROM,0.9699193744209287,0.9901056905270861,0.9977268996013186,0.9692814351392101,0.9863263702258899,0.9895530257568451,0.9947381687636547,0.9990222530167322,0.9757287545605574,0.9978956989593908,0.9826983204173076,0.9867578197269181,0.997671775634022,0.9783119699183449,0.9982189480396878,0.9817762345939941,0.9926454180006228,0.9994234192406507,0.9907586668525395,0.9682886418683411,0.9951765767035864,0.99032747081943,1.0,0.999723090534157,0.9984070111027719,0.9986981240966513,0.9921041404886701,0.9971239669124735,0.999053819828398,0.9977183884100018,0.9980126141079124,0.9981902015576232,0.9984032644999778
2TI,0.9723501319472949,0.9912494025047695,0.9974894002750644,0.97152433068914,0.9877720137668251,0.9911593370186557,0.995854563236237,0.9994021525151017,0.9776332478897183,0.9975680475520474,0.9844277614944845,0.9881868534590555,0.9983196929586731,0.9803316850867418,0.9987910556102281,0.9829779182375096,0.9940509494863459,0.9996712762771853,0.9919746724350988,0.9706558402263785,0.9959995917735224,0.9916172580517777,0.999723090534157,1.0,0.9993113446261876,0.9985299475777775,0.9906168058936001,0.9964033054091644,0.9993493652297388,0.9971373173657709,0.9983756614554269,0.9987851084196999,0.998813966560767
1TI,0.9762424905171322,0.992640979616336,0.9965873020026788,0.9749680130191622,0.9899317463235977,0.9933528862180995,0.9968179606015529,0.9988795594408012,0.9801527340573405,0.996303599223482,0.9865531455377845,0.9899879982432993,0.9985510461316822,0.9831496387470738,0.9984760013778289,0.9844285289315251,0.9955387399416107,0.9992234146435666,0.9934888392494924,0.9738838579957202,0.996910696030014,0.9931121450036159,0.9984070111027719,0.9993113446261876,1.0,0.9972396833890246,0.987168255856712,0.9944606823846911,0.9991893035092466,0.9954156271165108,0.9981651575224747,0.9987366991758747,0.9985727267571853
PHM,0.9672003816004388,0.9871414583452055,0.9959657682654878,0.9663047065083777,0.9833718648251866,0.9872625783868115,0.9924005544609779,0.9967452358933707,0.9734520353828342,0.997218056535906,0.9802383725126508,0.9844391355324803,0.996868365523212,0.9756253138391631,0.9962788191090555,0.9792527573437407,0.9902890645733563,0.9983354818088528,0.9895633159263638,0.9660795112029013,0.9941446373612325,0.988055745496574,0.9986981240966513,0.9985299475777775,0.9972396833890246,1.0,0.9923417715215693,0.9975785164184469,0.9985104546646454,0.9980974095851343,0.9969090817236366,0.99734334795923,0.9963941422470007
EPH,0.9336442796650263,0.9656381619090255,0.9933976450337265,0.9322287027527615,0.9589442555651425,0.9649579954387296,0.9748717333628961,0.9863452371035822,0.9418583008906384,0.9966189905103859,0.9526707390830141,0.9594154611457512,0.9902162289959692,0.945781124881522,0.9911420435946298,0.9516196401896829,0.9704636004499048,0.9922114364762807,0.9676875453426242,0.9310602636972695,0.9761173032826859,0.9656220251692424,0.9921041404886701,0.9906168058936001,0.987168255856712,0.9923417715215693,1.0,0.9979185400658593,0.9874386885366689,0.9973408865021192,0.9830584542791289,0.9916538911447688,0.983739861329587
2TH,0.9524331449849617,0.9779941314619366,0.9969798206460486,0.9507113454711374,0.9730724486753516,0.9780789771068314,0.9857614907459668,0.9934251105371777,0.9590056454512731,0.9993796487888219,0.968013299166775,0.9735530838347685,0.9963464414543626,0.9624116699288516,0.9963504153903096,0.9664854813300781,0.9822481283090495,0.9975585855319381,0.9802256918706213,0.9495806150650288,0.9870082280372033,0.978448711026255,0.9971239669124735,0.9964033054091644,0.9944606823846911,0.9975785164184469,0.9979185400658593,1.0,0.9948897249918854,0.9997570916247647,0.9917881985104858,0.9965106337015851,0.9919303240445777
PHP,0.9774397496422689,0.9933482365535253,0.9964369079339687,0.976539157580786,0.9909331110659765,0.9934945912668748,0.9971596640308794,0.9990300082236239,0.9820089077071541,0.9959704495136086,0.9877855452551096,0.9912297110646976,0.9979864146534952,0.9842801150185297,0.9973245299609805,0.9867566728062417,0.9956117864769763,0.9989158234256384,0.9945299072682507,0.9756049355334001,0.9980256650803463,0.9940361071453279,0.999053819828398,0.9993493652297388,0.9991893035092466,0.9985104546646454,0.9874386885366689,0.9948897249918854,1.0,0.9959114626201061,0.9992520662907237,0.9975006187944173,0.9992150244078725
COL,0.9553704502803596,0.9799053206720584,0.9973357686907245,0.9538001341936586,0.9753882096915013,0.9799289896736426,0.9873292369363196,0.9943173487651019,0.9618236582902263,0.9994835831969361,0.9704654351496407,0.9758337790556775,0.9969254330187947,0.9650837434661004,0.9965828733312563,0.9692959441294563,0.984003745242051,0.9981135100705325,0.9823017460898743,0.9528290599453368,0.988625840418766,0.9804959630024004,0.9977183884100018,0.9971373173657709,0.9954156271165108,0.9980974095851343,0.9973408865021192,0.9997570916247647,0.9959114626201061,1.0,0.9928485119703876,0.9969591452203468,0.9930116280828881
1TH,0.9824200583770782,0.9961223096469008,0.9935476723525067,0.9817793551273654,0.9938904852293989,0.9959426921600437,0.9986760468657406,0.9991814502910574,0.9869305401628773,0.9933619404104946,0.9918526144707076,0.9944750460621031,0.9955346390490357,0.9887300942746748,0.995593599326167,0.9907643482028108,0.9976830420136932,0.9973250788558419,0.9968952454960082,0.981095065384452,0.9991405651173318,0.9965326625808293,0.9980126141079124,0.9983756614554269,0.9981651575224747,0.9969090817236366,0.9830584542791289,0.9917881985104858,0.9992520662907237,0.9928485119703876,1.0,0.9956817745552778,0.999438374296244
TIT,0.9674658626174658,0.9881425781620918,0.9977929354043065,0.9659738630096074,0.9836734836980419,0.9885706098126216,0.9927232924940012,0.9972922372210384,0.9717268871996253,0.9979046964347372,0.9794991370823585,0.9836882118571763,0.9976745786108547,0.9752640401594151,0.998771322125752,0.9772280026652072,0.9912710616906449,0.9990809897997609,0.9886175130673679,0.9646890727953772,0.9929600275273247,0.9877213096218452,0.9981902015576232,0.9987851084196999,0.9987366991758747,0.99734334795923,0.9916538911447688,0.9965106337015851,0.9975006187944173,0.9969591452203468,0.9956817745552778,1.0,0.9960345449132704
GAL,0.9809254610683649,0.9955323576000742,0.9949441111003416,0.9805566504412617,0.9933688153488827,0.9952408017329538,0.9986172342279983,0.9996544315894486,0.9855727198388454,0.9935758450351717,0.99083745176054,0.9937120345128055,0.9967144233818918,0.9876388547466108,0.9968366764534698,0.9898205440540772,0.9973361736823748,0.9977885896875565,0.9956253236303364,0.9796429384563372,0.9984636569435821,0.9961309367668598,0.9984032644999778,0.998813966560767,0.9985727267571853,0.9963941422470007,0.983739861329587,0.9919303240445777,0.9992150244078725,0.9930116280828881,0.999438374296244,0.9960345449132704,1.0
